TASK_W6KEY,TASK_NUMBER,ORDER_NUMBER
5001322,3,2322
5001323,1,2323
5001324,13,2324
5001325,5,2325
5001326,8,2326
5001327,2,2327
5001328,2,2328
5001329,5,2329
5001330,2,2330
5001331,11,2331
5001332,2,2332
5001333,10,2333
5001334,5,2334
5001335,3,2335
5001336,2,2336
5001337,30,2337
5001338,2,2338
5001339,9,2339
5001340,1,2340
5001341,3,2341
5001342,3,2342
5001343,3,2343
5001344,3,2344
5001345,4,2345
5001346,9,2346
5001347,2,2347
5001348,3,2348
5001349,21,2349
5001350,1,2350
5001351,2,2351
5001352,3,2352
5001353,30,2353
5001354,7,2354
5001355,10,2355
5001356,3,2356
5001357,1,2357
5001358,3,2358
5001359,2,2359
5001360,3,2360
5001361,1,2361
5001362,10,2362
5001363,3,2363
5001364,3,2364
5001365,1,2365
5001366,7,2366
5001367,2,2367
5001368,2,2368
5001369,1,2369
5001370,2,2370
5001371,4,2371
5001372,4,2372
5001373,30,2373
5001374,5,2374
5001375,5,2375
5001376,6,2376
5001377,7,2377
5001378,8,2378
5001379,28,2379
5001380,1,2380
5001381,1,2381
5001382,28,2382
5001383,6,2383
5001384,1,2384
5001385,2,2385
5001386,1,2386
5001387,1,2387
5001388,1,2388
5001389,1,2389
5001390,1,2390
5001391,1,2391
5001392,1,2392
5001393,30,2393
5001394,1,2394
5001395,2,2395
5001396,8,2396
5001397,8,2397
5001398,1,2398
5001399,2,2399
5001400,11,2400
5001401,2,2401
5001402,21,2402
5001403,1,2403
5001404,1,2404
5001405,30,2405
5001406,11,2406
5001407,2,2407
5001408,3,2408
5001409,3,2409
5001410,11,2410
5001411,2,2411
5001412,2,2412
5001413,3,2413
5001414,4,2414
5001415,3,2415
5001416,3,2416
5001417,4,2417
5001418,5,2418
5001419,4,2419
5001420,6,2420
5001421,2,2421
5001422,11,2422
5001423,21,2423
5001424,7,2424
5001425,3,2425
5001426,7,2426
5001427,5,2427
5001428,8,2428
5001429,6,2429
5001430,1,2430
5001431,1,2431
5001432,5,2432
5001433,7,2433
5001434,2,2434
5001435,4,2435
5001436,12,2436
5001437,4,2437
5001438,7,2438
5001439,1,2439
5001440,4,2440
5001441,7,2441
5001442,5,2442
5001443,2,2443
5001444,2,2444
5001445,1,2445
5001446,9,2446
5001447,1,2447
5001448,2,2448
5001449,4,2449
5001450,7,2450
5001451,2,2451
5001452,7,2452
5001453,1,2453
5001454,2,2454
5001455,2,2455
5001456,4,2456
5001457,9,2457
5001458,4,2458
5001459,1,2459
5001460,2,2460
5001461,3,2461
5001462,2,2462
5001463,3,2463
5001464,12,2464
5001465,3,2465
5001466,2,2466
5001467,2,2467
5001468,3,2468
5001469,3,2469
5001470,1,2470
5001471,1,2471
5001472,4,2472
5001473,7,2473
5001474,8,2474
5001475,1,2475
5001476,1,2476
5001477,3,2477
5001478,11,2478
5001479,5,2479
5001480,2,2480
5001481,5,2481
5001482,11,2482
5001483,2,2483
5001484,2,2484
5001485,3,2485
5001486,3,2486
5001487,2,2487
5001488,9,2488
5001489,12,2489
5001490,3,2490
5001491,9,2491
5001492,9,2492
5001493,9,2493
5001494,9,2494
5001495,12,2495
5001496,4,2496
5001497,13,2497
5001498,14,2498
5001499,9,2499
5001500,3,2500
5001501,2,2501
5001502,3,2502
5001503,3,2503
5001504,2,2504
5001505,9,2505
5001506,3,2506
5001507,2,2507
5001508,9,2508
5001509,3,2509
5001510,2,2510
5001511,9,2511
5001512,2,2512
5001513,3,2513
5001514,9,2514
5001515,9,2515
5001516,9,2516
5001517,2,2517
5001518,3,2518
5001519,1,2519
5001520,1,2520
5001521,1,2521
5001522,3,2522
5001523,1,2523
5001524,1,2524
5001525,3,2525
5001526,1,2526
5001527,2,2527
5001528,2,2528
5001529,2,2529
5001530,3,2530
5001531,2,2531
5001532,1,2532
5001533,3,2533
5001534,3,2534
5001535,4,2535
5001536,5,2536
5001537,6,2537
